�б�ǩ,������:tag
stretches the premise too far,9
secret door,9
Survival Story,9
science-fiction,9
skull,9
struggle for survival,9
tales,9
Stuart Townsend,9
tape recorder,9
satanist,9
searching for love,9
shirtless men,9
set up,9
Saladin,9
surveillance camera,9
stunning photography,9
scottish independence,9
sales,9
shorts,9
setting:in computer,9
tabloid,9
sidekick,9
Scenery Porn,9
songwriting,9
squatter,9
stupid fight scenes,9
second half was worse,9
stupid humor,9
tarot cards,9
Sex Workers,9
Taylor Kitsch,9
steven spilberg,9
Star Trek: Original Series,9
rose leslie,9
Teddy Bear,9
souls,9
teenage drama,9
South Dakota,9
stepfather,9
subtle performances,9
social angst,9
sense of futility,9
Scott Glenn,9
Simon West,9
swastika,9
Sucks big time!,9
scooby doo,9
suicide bomber,9
sport competition,9
sense of life,9
Roy William Neill,9
sensitive,9
second chances,9
Rough,9
tag,9
Sincerity,9
rude,9
sensuous,9
runaway teen,9
super soldier,9
squirrel,9
Sam Dunn,9
series ending,9
Saturn Award (Best Supporting Actress),9
Shapeshifter,9
sentence,9
seventies,9
superhero spoof,9
Schizo-cam,9
Rule-making,9
slight romance,9
supernatural creature,9
Sloth,9
seoul,9
tear-jerker,9
surfboard,9
Rosanna Arquette,9
stories,9
Ted Danson,9
social activism,9
small business,9
storm at sea,9
shenanigan,9
sexy leading actresses,9
school friend,9
surprisingly touching,9
setting:brothel,9
stormtroopers,9
saxophone,9
television producer,9
patricide,9
pitchfork,9
Phoebe Cates,9
r:disturbing violent content including rape,9
rewatch for rating,9
rebels,9
RIGHTING THE WRONGED,9
photo,9
poorly realized,9
onesided,9
Roger Donaldson,9
one-sided,9
opportunism,9
Red Curtain trilogy,9
rape scene,9
Police Procedural,9
Roger Rabbit,9
Oscar Nominee: Visual Effects,9
Robert DeNiro,9
R2-D2,9
robinsonade,9
police protection,9
pretentious garbage about good things,9
refrigerator,9
overbearing mother,9
Oedipus Complex,9
overcoming,9
persistence,9
Rangers,9
orphan siblings,9
Oscar Nominee: Best Picture 2011,9
Rachael Leigh Cook,9
public humiliation,9
rehash sequel,9
Oscar Nominee: Best Picture 2013,9
pacific,9
Raul Julia,9
racial divide,9
Robert A. Heinlein,9
projectionist,9
Oscar Nominee: Best Picture 2016,9
post nuclear,9
real sex,9
post world war i,9
rock climbing,9
relic,9
pole dancer,9
prospector,9
police academy,9
Racist cops,9
Philip Kaufman,9
religious intolerance,9
prediction,9
nutrition,9
Olivier Assayas,9
protagonist is a dancer,9
rice,9
remembrance,9
Peter Watkins,9
observer,9
Richard Benjamin,9
radio broadcast,9
Oh My Goood!,9
political campaign,9
pool billiards,9
Peter Falk,9
penalty,9
pigeons,9
ridiculous training sequence,9
repeat watch,9
Oscar Nominee: Best Picture 2012,9
Republicans,9
plumber,9
partially black and white,9
prehistoric man,9
paganism,9
Rob Cohen,9
Pentagon,9
robbery turned wrong,9
radioactive,9
Paula Patton,9
Raffey Cassidy,9
pychologically thrilling,9
Partricia Arquette,9
Quartet I,9
Peter Stormare,9
perverted,9
pageant,9
Robert Z. Leonard,9
passport,9
queer cinema,9
offbeat humor,9
overweight,9
Nova Scotia,9
realistic dialogue,9
powers,9
Popular,9
practical FX,9
original is better,9
rain forest,9
porn for women,9
perversity,9
One of the worst movies of all time,9
rainstorm,9
puns,9
psychotic tendencies,9
Lara Flynn Boyle,9
lovely characters,9
Lou Costello,9
Mary Stuart Masterson,9
musical comedy,9
Military Operation,9
murder trial,9
Library System,9
money problems,9
new german cinema,9
Matt Reeves,9
media politics,9
Max Ophüls,9
mi5,9
modern fairy tale,9
National Guard,9
murder/fatality,9
left for dead,9
musicals,9
New World Order agenda,9
learning,9
Misandry,9
lethargic pacing,9
military police,9
man child,9
miscarriage,9
miniature people,9
Luis Bunuel,9
noHun,9
MAFIA LIFE,9
little town,9
love this movie,9
metaphysical,9
Mr. T,9
love letters,9
Lionel Barrymore,9
message of hope,9
newyork,9
macross,9
niagara falls,9
napoleon bonaparte,9
law school,9
mysterious or thrilling,9
Manoel De Oliveira,9
ludicrous plot,9
Louvre,9
Linda Fiorentino,9
Nicholas Meyer,9
mass suicide,9
nature documentary,9
medical student,9
motown,9
neglect,9
Louis Leterrier,9
miners strike,9
man,9
lassie,9
land,9
machine gun leg,9
mind and soul,9
noirish,9
nazi exploitation film,9
neo Nazi,9
Marquis de Sade,9
media madness,9
multicultural,9
love interest,9
liberation of hostage,9
minimal plot,9
Milan Kundera,9
master,9
niece,9
modernity,9
Mario Monicelli,9
maya civilization,9
Ne,9
North Africa,9
nail biter,9
morally counterintuitive,9
management,9
length,9
masked vigilante,9
marital problem,9
leave,9
mark duplass,9
loveless marriage,9
Mathieu Kassovitz,9
lodger,9
lava,9
no blood,9
mystery writer,9
no CGI,9
mental disorder,9
mind game,9
Kenneth Lonergan,9
jungle girl,9
Hot Bikini Action,9
hilarity,9
Karel Reisz,9
Jean-Pierre Dardenne,9
killer doll,9
immortals,9
Jay Oliva,9
Imogen Poots,9
James Marsh,9
heavy rain,9
Guillaume Canet,9
Herbert Ross,9
kidnap,9
Irvin Kershner,9
kingdoms,9
heresy,9
Hamilton Luske,9
israeli palestinian conflict,9
insider Trading,9
human story,9
James L. Brooks,9
jingoistic,9
Industrial Light and Magic,9
insulting to women,9
katana sword,9
Joan Allen,9
groot,9
historical event,9
informer,9
jockey,9
injection,9
Great Storytelling,9
Intelligent scifi,9
Joe Russo,9
horror movie,9
john c reilly,9
knife fight,9
J. Lee Thompson,9
Kuwait,9
havana cuba,9
Hilarious!,9
John G. Avildsen,9
Julio Medem,9
Jack Davenport,9
indochina,9
John le Carre,9
homeland,9
inappropriate music,9
headmaster,9
jack white,9
Kang-ho Song,9
insurance investigator,9
great white shark,9
Lake Bell,9
Kate Bosworth,9
grudge,9
Katottava,9
Jon Hamm,9
handheld camera,9
Jacqueline Bisset,9
hearing,9
Jacques Demy,9
Hoodoo,9
intersex,9
Hope Davis,9
hypnotist,9
japanese noir,9
integration,9
Jason,9
Hayley Atwell,9
horror classic,9
Joseph Losey,9
Horror Game,9
journal,9
Jason Robards,9
Jake Johnson,9
highlands,9
Holland,9
invisible,9
H.C. Potter,9
Jay Chandrasekhar,9
Laika,9
Ioan Gruffudd,9
jukebox,9
Ione Skye,9
Great Movie!,9
lacks tension,9
James Caviezel,9
homage to Hitchcock,9
group dynamics,9
ghost child,9
grand canyon,9
good dialogs,9
elfs,9
engineers,9
female protagonists,9
Erich von Stroheim,9
female soldier,9
governance,9
elimination derby,9
gay subtext,9
few nice laughs,9
gentrification,9
Ed Norton,9
entertainment,9
dynasty,9
economic depression,9
expected more,9
good science fiction,9
fights,9
Estonia,9
donkey kong,9
gatling gun,9
film director,9
family business ,9
film industry,9
drug cartels,9
doesn't live up to its full potential,9
George Marshall,9
exploding car,9
diver,9
dr. kildare,9
Gina Gershon,9
great environments,9
glorifying violence,9
flatulence,9
golden globe,9
extended sex scene,9
evil empire,9
flick,9
Goro Miyazaki,9
flirtation,9
government conspiracy,9
don't forget to see,9
existential angst,9
flu,9
Great Actions,9
DVD-Video,9
gay propaganda,9
Doesn't take itself seriously,9
geek sorority,9
forced marriage,9
Doona Bae,9
Eco,9
Family Tragedy,9
foreigner,9
drug deal,9
forensic science,9
fan convention,9
eye opening,9
excellent historical depiction,9
dramatic comedy,9
Excessive CGI,9
Fabrice Luchini,9
ghoul,9
fabulous,9
drugs and addiction,9
franz kafka,9
girl gang,9
Fred Schepisi,9
globalisation,9
Freddie Highmore,9
distant future,9
Fredric March,9
Every nerd should have seen more than once,9
dreamer,9
Golden Harvest,9
Ewoks,9
father son reunion,9
fun premise,9
good plot twists,9
funny scenes,9
goon,9
Futurist,9
fear of dying,9
employer employee relationship,9
feel bad comedy,9
galier,9
government research,9
gambling debt,9
graduate student,9
fall in love,9
grainy,9
garage band,9
Dominic Monaghan,9
garden gnome,9
Garry Marshall,9
female,9
casual sex,9
british soldier,9
cthulhu,9
construction site,9
coast guard,9
climate,9
bromantic comedy,9
cohabitant,9
cat burglar,9
cursing,9
chain saw,9
coin,9
dark future,9
Change of heart,9
caricature,9
byung-hun Lee,9
countdown,9
craftmanship,9
die hard scenario,9
bullfighter,9
clinic,9
car dealer,9
Christina Applegate,9
death of brother,9
corrupt politician,9
cute girls,9
Cobie Smulders,9
children's book,9
desperate,9
burnout,9
costumed vigilante,9
death personified,9
devastating,9
bunny,9
Diablo Cody,9
children's home,9
cats and dogs,9
brother brother relationship,9
didactic,9
child's point of view,9
David Niven,9
crazy characters,9
cheesey,9
cliques,9
christian propaganda,9
confederate soldier,9
Classic monster,9
Creation,9
dea agent,9
broker,9
choreographer,9
cool design,9
deputy sheriff,9
D.W. Griffith,9
btaegekids,9
dad,9
Croatia,9
car thief,9
cargo ship,9
daisy duck,9
bus driver,9
colleague,9
cajun,9
decoy,9
Conrad Veidt,9
cool gadgets,9
Bucky Barnes,9
Chinese Humor,9
Dave Chappelle,9
deep sea,9
crusade,9
clumsy fellow,9
dialect,9
Dehumanization,9
David Butler,9
chuck jones,9
conservatism,9
Dan Fogler,9
conservative,9
creepy singing,9
David Hewlett,9
crew,9
Chris Weitz,9
brother relationship,9
dildo,9
Charlie Day,9
cattle drive,9
clever concept,9
Dax Shepard,9
cards,9
Director: Christopher Nolan,9
confronting death,9
Director: Sam Raimi,9
corporate crime,9
classic Hollywood,9
corporate malfeasance,9
cult horror,9
bulimia,9
cult leader,9
chases and races,9
british intelligence,9
choice,9
courtship,9
criminal underworld,9
crusaders,9
Al Leong,9
Armando Iannucci,9
Brandon Routh,9
20s,9
Basil Dearden,9
arrow,9
boyfriend girlfriend,9
big corporations,9
banana,9
blender,9
bad mother-in-law,9
Amorality,9
assembly line,9
angelic intervention,9
Agnès Varda,9
based on anime,9
brain surgery,9
based on cartoon,9
big bad wolf,9
blind woman,9
adolescent gays,9
Blofeld,9
anurag kashyap,9
absolutely hilarious,9
Billy Dee Williams,9
art thief,9
belfast,9
art world,9
Al Gore,9
annoying reporter,9
abroad,9
animal:horse,9
Adrianne Palicki,9
action hero,9
blade runner,9
archival footage,9
?adapted from:book,9
birding,9
Andrew Niccol,9
anonymity,9
13th Century,9
Better than the remake,9
aftermath of war,9
beatnik,9
bong,9
birth of great scifi ideas,9
anti-scientific,9
backwoods horror,9
Avatar trilogy,9
bob newhart,9
black holes,9
20's,9
2015 Academy Award Nomination BEST ACTOR SUPPORTING ROLE,9
amazon rainforest,9
Boring after 2/3,9
adapted from:video game,9
bad screenplay,9
bad book adaptation,9
belivable science,9
1890s,9
Andalusia,9
80s soundtrack,9
abuse of power,9
70's,9
amicus,9
Adapted from book,9
Alexander Korda,9
alibi,9
aladdin,9
Anthony Asquith,9
Best,9
bold,9
brain damage,9
autumn,9
Batman (series),9
based on supposedly true story,9
amateur,9
beautifully tragic,9
agonizing,9
better than original,9
Adam Baldwin,9
bomb attack,9
break in,9
bombay india,9
breaking glass,9
2015 Academy Award Nomination BEST ACTOR,9
blast,9
beaver,9
ax-grinding,9
weather reporter as protagonist,8
Tom Skerritt,8
Wallace Shawn,8
virus outbreak,8
Zoltan Korda,8
USA history,8
unwed mother,8
usa politics,8
Unlikable main characters,8
violent death,8
too violent,8
whiny,8
train accident,8
Useless,8
TREACHEROUS SPOUSES,8
tools,8
Tye Sheridan,8
tooth fairy,8
ww1,8
war drama,8
West Point,8
tv reporter,8
truth vs. fantasy,8
warcraft,8
tower,8
Timur Bekmambetov,8
wealth differences,8
trans woman,8
the story,8
Vincent Sherman,8
weatherman,8
troops,8
worst ending ever,8
travolta,8
uncle nephew relationship,8
Wilfred Jackson,8
trucking,8
time bomb,8
treasure map,8
time capsule,8
Walter Salles,8
warriors,8
Xmas theme?,8
volkswagen,8
trapped underwater?,8
William A. Seiter,8
you're tearing me apart lisa,8
Udo Kier,8
understanding,8
Warsaw ghetto,8
Zendaya,8
Thomas McCarthy,8
underwhelming,8
Thelma Ritter,8
traffic jam,8
trophy wife,8
umbrella,8
topic:Hollywood industry,8
trapeze,8
visually interesting,8
tj miller,8
vanity project,8
world cup,8
willpower,8
unwanted pregnancy,8
Tolkein,8
World War III,8
The Asylum,8
thirty something,8
visually stylish,8
terrible adaptation,8
window,8
wedding ring,8
unreflective,8
unconventional friendship,8
visualy apealing,8
unconvincing,8
too much,8
Toni Servillo,8
veganism,8
turns into animal,8
wishes come true,8
Ursula K. Le Guin,8
traditional animation,8
the human condition,8
vegetarians,8
Tom McGrath,8
without Martha,8
texting,8
Trevor Howard,8
tragic drama.,8
Troubled Family,8
Tour Bus,8
weak,8
tied up,8
Thomas Jane,8
Zurich,8
troubled production,8
yukon,8
too much explaining,8
trance,8
Vivian Leigh,8
zen,8
tenement,8
underwater scene,8
WOMEN IN JEOPARDY,8
too weird,8
WOMEN'S FRIENDSHIP,8
Tomas Alfredson,8
walking,8
whaling,8
unusual editing,8
Wierd,8
romp,8
Tay Garnett,8
samurai era,8
silver,8
south carolina,8
S.E.T.I.,8
symbol,8
succubus,8
tap dance,8
Shop,8
salespeople,8
strong character,8
statutory rape,8
sudan,8
sport:basketball,8
sudden death,8
sad but much good,8
soviet troops,8
setting:space/space ship,8
Simone Signoret,8
silent hill,8
strong characters,8
rough humor,8
Salman Khan,8
slow plot,8
stuck,8
small town sheriff,8
summer job,8
school party,8
Steve James,8
sword fights,8
sensitive villians,8
strangle,8
shoplifting,8
sex offender,8
sunlight,8
sorority house,8
super,8
Rosalind Russell,8
sex tape,8
"Tangier, Morocco",8
Rom-com,8
shared apartment,8
Sabu,8
tavern,8
superb,8
stock exchange,8
Steve Miner,8
Shower scene,8
running scene,8
stretched out,8
superheros,8
Russians,8
superior sequel,8
startups,8
Sacramento,8
teenage daughter,8
stoner rock,8
steel helmet,8
Savage,8
silly humor,8
sondheim,8
social critique,8
Savannah,8
sorcerer's apprentice,8
Sam Taylor,8
Russell Crowe's singing,8
spear,8
scavenger hunt,8
sexually leaky,8
synthpop,8
sinister,8
ruutu.fi,8
smartphone,8
tacky,8
Sidney Franklin,8
tahiti,8
siren,8
Sergio Corbucci,8
seppuku,8
signs,8
rowing,8
science vs religion,8
stroke of fate,8
sound,8
strong,8
sleigh,8
sister-in-law,8
self-awareness,8
strong man,8
subgenre:screwball,8
survival skills,8
slime,8
Sammo Hung Kam-Bo,8
Taylor Hackford,8
skating,8
tender,8
Skeet Ulrich,8
strength,8
Sophie Marceau,8
senior citizen,8
skeletor,8
Ron Jeremy,8
shoe,8
Shawn Levy,8
Scandinavian,8
snowmobile,8
stupid teenager's dystopia,8
substance abuse,8
scantily clad female,8
Second World War,8
spiritualist,8
starving,8
skin,8
social services,8
splatterpunk,8
Ronny Yu,8
Romance of the Three Kingdoms,8
Stockard Channing,8
rookie,8
seen it before,8
strange person,8
Shrek,8
swinger,8
smart characters,8
stutter,8
skits,8
Raoul Ruiz,8
renaissance,8
older woman seduces younger guy,8
Organ donor,8
rich man,8
personification,8
read the book,8
plot wending,8
reimagining,8
plot: Seven Samurai,8
respect,8
plotting,8
Personal demons,8
police dog,8
Ray Charles,8
polio,8
Rebecca De Mornay,8
political prisoner,8
red army,8
obsessive love,8
religious conversion,8
Peter Cook,8
part stop motion,8
polynesia,8
retreat,8
pompeii,8
Robert Shaw,8
poorly directed,8
Ralph Richardson,8
poorly executed,8
Oakland,8
Peter Fonda,8
Ray Winstone,8
Oscar (Best Screenplay),8
parade,8
Peter Hyams,8
rebirth,8
posession,8
paranormal investigation,8
Peter Medak,8
parapsychology,8
postcard,8
Not very realistic,8
post-modern,8
remake of a swedish film,8
potter,8
repetition,8
poverty row film,8
research laboratory,8
predict future,8
restaurant owner,8
pregnant man,8
revenge motive,8
Oscar Nominee: Best Picture 2014,8
person running amok,8
prehistoric fantasy,8
Robin Tunney,8
prehistory,8
personality,8
Oscar Nominee: Best Picture 2015,8
Randal Kleiser,8
PG:rude humor,8
rape attempt,8
preparatory school,8
pie,8
PG-13:brief strong language,8
Ray Stevenson,8
prisoners of war,8
Raymond Chandler,8
PRIVATE EYES,8
Pierre Richard,8
problem child,8
nudism,8
production,8
rebellious,8
prophet,8
recession,8
protagonist is medical doctor,8
recording studio,8
pseudo-realism,8
pilgrimage,8
ogre,8
red hair,8
overcome obstacles,8
parent,8
overcoming odds,8
parents-in-law,8
pterodactyl,8
religion:Xian,8
philip k dick,8
Parker Posey,8
oil industry,8
remorse,8
puppy love,8
Reno,8
puritan,8
part animation,8
pygmalion,8
rescue operation,8
quantum mechanics,8
resentment,8
overweight child,8
responsible,8
philosophic,8
passenger,8
R language,8
retrospective,8
Oz,8
one night stand,8
R:pervasive language,8
Richard Brooks,8
ONE LAST HEIST,8
Robert Sean Leonard,8
P.T. Anderson,8
peanuts,8
pablo escobar,8
robinson crusoe,8
pacific theater,8
rocker,8
old friend,8
pen pal,8
open ended endings,8
phobia,8
Mental Patients,8
Norman McLaren,8
Les Blank,8
muteness,8
misadventure,8
Larry Clark,8
no suspense,8
news reporter,8
manipulation of the media,8
location,8
Miriam Hopkins,8
nature gods,8
male rear nudity,8
Marcel Carné,8
log cabin,8
logging,8
marie antoinette,8
middle-earth (tolkien),8
mail order bride,8
naval officer,8
Nora Roberts,8
medallion,8
Nathan Lane,8
marines,8
mech,8
lovestory,8
Mark rylance,8
Liza Minnelli,8
not happy ending,8
LDS,8
Mary Elizabeth Mastrantonio,8
Nicholas Stoller,8
massacred the book,8
laundromat,8
medication,8
Lana Wachowski,8
legal drama,8
mother superior,8
multiple short stories in one,8
Lyon,8
landscapes,8
Matheson,8
Mickey Rooney,8
luddism,8
Larry Wachkowski,8
lighting,8
Liz Garbus,8
missing daughter,8
Luc Dardenne,8
Linda Blair,8
lonely,8
missing father,8
landmine,8
near death,8
mother love,8
migration,8
Mark L. Lester,8
Michael Winslow,8
llama,8
Niels Arestrup,8
loved it,8
missing husband,8
mental retardation,8
nigeria,8
life's dream,8
Muscles,8
maya deren,8
necklace,8
male fantasy,8
meeting,8
no tension,8
missing wife,8
mockery,8
long revenge,8
love of music,8
nightlife,8
nephew,8
movie magic,8
Mackenzie Foy,8
Mission Impossible,8
marathon,8
nightmarish,8
nested virtualization,8
leopard,8
Mick Jackson,8
locker room,8
Michael Anderson,8
leaving one's family,8
Lupin III,8
Nikolaj Coster-Waldau,8
Norma Shearer,8
malfunction,8
Nastassja Kinski,8
ninja fighter,8
minotaur,8
masks,8
lenin,8
lgbt rights,8
miracles,8
manhood,8
microchip,8
marionettes,8
lust for power,8
multiculturalism,8
meta film,8
mini coopers,8
marital separation,8
megalomaniac villain,8
martial arts tournament,8
multilayered,8
martin luther king,8
literacy,8
military spoof,8
no desire to see this,8
monopoly,8
mark twain,8
Monsanto,8
nelson mandela,8
newfoundland,8
matriarch,8
mind transfer,8
loop,8
malaria,8
great scenery,8
kingpin,8
hardcore,8
italian history,8
gunman,8
Jean-Jacques Annaud,8
human experiment,8
jail cell,8
istanbul turkey,8
jail guard,8
Jon Turteltaub,8
indian motorcycle,8
Guy Hamilton,8
intertwining storylines,8
kid on his own,8
interesting idea,8
human harvesting,8
greenwich village,8
High school violence,8
great voice acting,8
inner city,8
idaho,8
inconsistencies,8
Judd Nelson,8
guantanamo bay,8
Joanna Lumley,8
Jordan Peele,8
great stunts,8
hitmen,8
insults audience's intelligence,8
japanese army,8
judgment,8
John Mills,8
Jean-Marc Vallée,8
ki-duk kim,8
Julia Child,8
Henry Winkler,8
jobless,8
Killer Santa Claus,8
intimacy,8
Jared Hess,8
great title,8
gyrocopter,8
jock,8
Jim Belushi,8
Julie Walters,8
invincible,8
grieving widower,8
internal affairs,8
implanted memory,8
koran,8
Joe Berlinger,8
Ian McEwan,8
head injury,8
Jimmy Carr,8
jump scare,8
Imhotep,8
Iggy Pop,8
Joseph Cross,8
home alone,8
Jennifer Grey,8
improbable,8
John Michael McDonagh,8
iguana,8
illuminati,8
hideout,8
kid whining,8
intimidation,8
interpreter,8
jesse stone,8
KIDS IN TROUBLE,8
Irving Rapper,8
human being,8
illegal,8
hopeless love,8
hot rod,8
killer clown,8
hired gun,8
killer robots,8
hit and run,8
killer toys,8
Isabel Coixet,8
Horrible directing,8
greenhouse,8
Intelligent Sc-Fi,8
homesickness,8
high squirm factor,8
Gwenth Paltrow,8
Jason Isaacs,8
Isabelle Fuhrman,8
King Ghidorah,8
homicide detective,8
John Williams music,8
institutionalization,8
horror filmmaking,8
John Dahl,8
incompetent cops,8
grenade,8
Jaco Van Dormael,8
Hitchcock never made,8
Jim Morrison,8
Introspection,8
knife throwing,8
grumpy,8
Hilarious!! :D,8
Hulk Hogan,8
kungfu,8
Katso Sanna!,8
INTERSECTING LIVES,8
Jan Troell,8
idiot plot,8
inanimate objects coming to life,8
H. Bruce Humberstone,8
Ken Annakin,8
Jenny Agutter,8
Hercule Poirot,8
HOSTAGE SITUATIONS,8
Janet Leigh,8
interstellar trip,8
illiteracy,8
indian attack,8
Implausible plot,8
iranian new wave,8
ethiopia,8
dual role,8
escape to reality,8
gadget car,8
failed tv pilot,8
drag racing,8
fatalist,8
existential dread,8
Gollum,8
empty scenario,8
doubt,8
evil government,8
fake authentic,8
exploding building,8
Eva Marie Saint,8
edo period,8
franco regime,8
doomed man,8
Fred Dekker,8
gang violence,8
exotic dancer,8
flying car,8
good score,8
folk hero,8
early america,8
false history,8
Elio Petri,8
food for thought,8
grave robbing,8
Garth Jennings,8
enviromental,8
fellatio,8
glamour,8
Female Comedy,8
globalization,8
doomsday device,8
goddess,8
families,8
evil witch,8
endangered species,8
evil man,8
food industry,8
good clean comedy,8
FAMILIES IN CRISIS,8
good fun,8
Drags,8
escort girl,8
endearing,8
good special effects,8
ending lame,8
french canadian,8
Foodie,8
friendship transcending death,8
expectant mother,8
government corruption,8
gendarmerie,8
flesh eating,8
foolish,8
Graphic sex,8
GENDER-BENDING,8
evil humans,8
fictional war,8
Gabriele Muccino,8
Gene Simmons,8
Exploitative,8
E. M. Forster,8
Ernest Borgnine,8
Filmed in BC,8
glasses,8
foreclosure,8
Fran?ois Ozon,8
drug crime,8
drunkard,8
famous,8
goblins,8
extremely creative,8
Fitness,8
enlightenment,8
escaped mental patient,8
Filmes Antigos,8
freak show,8
foreign language adaptation,8
Golden Globe winner,8
Georg Wilhelm Pabst,8
Golden Twenties,8
fantastical imagery,8
good adaptation of the book,8
filth,8
Fred Willard,8
Don Quixote,8
Edgar Award (Best Motion Picture Screenplay),8
fart jokes,8
good idea... bad movie,8
fashion show,8
facts,8
german history,8
failed marriage,8
excellent costumes,8
good script,8
fictitious marriage,8
disorder,8
fortress,8
embarrasing,8
fortune,8
divorced,8
financial transactions,8
estate agent,8
eyeball,8
Fede Alvarez,8
giant animal,8
dumb-humor,8
fight club,8
Elizabeth Perkins,8
giant space bugs,8
evangelical christian trash,8
Divergent,8
fairy godmother,8
giant worm,8
estranged,8
drugs & music,8
future art deco,8
doesn't make sense,8
Gravity,8
Gilbert & Sullivan,8
fell asleep,8
Gina Carano,8
great casting,8
Great dialogues,8
Ginger Rogers,8
divorced parents,8
Gary Fleder,8
Dominique Pinon,8
framing,8
Fran Kranz,8
flapper,8
great lines,8
clarivoyance,8
cartoon mouse,8
Casa,8
burial,8
cinematographer,8
cougar,8
business trip,8
counter-culture,8
deal,8
counterfeiting,8
buddy cops,8
Claudette Colbert,8
civil rights movement ,8
country club,8
disfigured face,8
couples,8
Cat Stevens,8
cheesy (good),8
Christina Hendricks,8
Courteney Cox,8
debt collection,8
cousin cousin relationship,8
brother against brother,8
covered investigation,8
denver,8
"Cheesy space opera, classic",8
cooperation,8
calligraphy,8
clairvoyance,8
Cheh Chang,8
class war,8
clip show,8
capitalist protag,8
Craig T. Nelson,8
Bud Abbott,8
comanche,8
conductor,8
crazy ending,8
coal miners,8
Clive Barker,8
dead soldier,8
Bruce Boxleitner,8
death threat,8
comedic moments,8
decision,8
creepy kids,8
defection,8
crematorium,8
caravan,8
camelot,8
cimrman,8
camels,8
cinema novo,8
Bruce Dern,8
desertion,8
bullfighting,8
city portrait,8
crime wave,8
buffalo bill,8
criminal comedy,8
diego luna,8
criminal past,8
Charlie Hunnam,8
crisis management,8
carousel ,8
crisis of conscience,8
classics,8
child death,8
Chris O'Donnell,8
Critical thinking,8
clich?? ending,8
crooked lawyer,8
concubine,8
cross dresser,8
David Leitch,8
child lead,8
David Mackenzie,8
child molester,8
captivity,8
crossbow,8
coal mining,8
crowdfunded,8
chaotic,8
cruising,8
Brett Easton Ellis,8
cellphone scene,8
death star,8
cube,8
deathbed,8
British Columbia,8
car theft,8
childish style,8
character:Freddy Krueger,8
cloud,8
defeat,8
Cloverfield,8
defense,8
Cute/Sweet,8
contract,8
communist party,8
Contrived plot,8
children's story,8
demonology,8
compilation,8
caregiver,8
Daffy Duck,8
cinema history,8
Bryan Forbes,8
depression era,8
Dali,8
broadway musical,8
damian chazelle,8
detached,8
dan akroyd,8
Dialogs,8
complicated relationships,8
coping with loss,8
Bryan Greenberg,8
diamond heist,8
Chinese propaganda,8
broadway show,8
bridesmaid,8
didn't see,8
danger of life,8
difference,8
canoe,8
different from book,8
can't identify with hero,8
Carlos Saldanha,8
choices,8
classic albums,8
cholera,8
disappointment,8
caper comedy,8
disfunctional family,8
champion,8
correspondence,8
dishonest,8
anti-intellectualism,8
Anti-Christian,8
bad sound,8
Based on the book,8
bigamy,8
armageddon,8
accountant,8
Ahead of its time,8
author:Ernest Hemingway,8
Arthur Penn,8
Brad Silberling,8
"""not so perfect""",8
bear trap,8
boat chase,8
alcoholic drink,8
Anime Adaption,8
botanist,8
Arthur Rankin Jr.,8
accurate,8
anonymous letter,8
axe,8
bike,8
allergy,8
11 year old explicit violence,8
BD-Video,8
Alex Garland,8
brave,8
biker gang,8
baltimore maryland,8
ansel elgort,8
breasts,8
bodily disabled person,8
Alice Eve,8
body enhancement,8
audio tape,8
Amateur Porn,8
belly dancing,8
author:John Steinbeck,8
based on movie,8
06 Oscar Nominated Best Movie - Animation,8
box,8
Aidan Quinn,8
arguing with mom,8
body switch,8
antique,8
arms deal,8
ATF,8
apparition,8
Alejandro Gonz??lez I?±??rritu,8
arms smuggling,8
balkan war,8
american west,8
brain transplant,8
black metal,8
beach movie,8
basque country ,8
Bloody Funny,8
beautiful? woman,8
beard,8
alicia witt,8
blunt existentialism,8
black panthers,8
2015 Academy Award Nomination BEST ACTRESS,8
90s sci-fi,8
alternative life,8
black power,8
alice cooper,8
Bilbao,8
aaron taylor-johnson,8
black_culture,8
bosnia and herzegovina,8
bomb planting,8
author:Terry Pratchett,8
Alex Cox,8
bell,8
blackface,8
Betty Thomas,8
action-filled,8
assumed identity,8
Amazing kung fu,8
awol,8
7.2-FilmAffinity,8
anti-capitalism,8
blackmailer,8
anticapitalist,8
Asia Argento,8
bitch,8
air raid,8
adapted from:fairy tale,8
bonkers,8
boy and dog,8
asian,8
Bernard Herrmann,8
blacksmith,8
breast cancer,8
Asian culture,8
Bertrand Tavernier,8
blade,8
best comedy,8
Anthony Wong Chau-Sang,8
balcony,8
ancient astronaut,8
8o's,8
air traffic control,8
amusing,8
andy warhol,8
brain teaser,8
Batman voice,8
animal lead,8
aspiring actor,8
automata,8
adolescent psychology,8
animation style,8
bad movies,8
best of the series so far,8
awful truth,8
bear attack,8
bird attack,8
Barbet Schroeder,8
Alice Braga,8
blues music,8
accidental killing,8
based on a manga,8
adopted son,8
betrayal by friend,8
border crossing,8
Animal Liberation Front,8
border patrol,8
better than everybody thinks,8
"A fun introduction to the epic film series which will keep you on the edge of your seat during the good vs evil battles.  Fantastic special effects, incredible characters and futuristic landscapes.",8
astronomer,8
times square,7
video tape,7
train wreck,7
terrible dialog,7
Terrific Cast,7
Ugly main character,7
Thierry Guetta,7
tom arnold,7
Valeria Golino,7
Virginia Madsen,7
tentacles,7
transition,7
